Date,Open,High,Low,Close,Adj Close,Volume
2016-11-24,47474.0,47877.0,46832.05078125,47214.75,46942.1171875,9048
2016-11-25,47544.0,47775.19921875,47112.0,47270.5,46997.54296875,7607
2016-11-28,47399.0,48460.0,47250.0,47574.05078125,47299.33984375,8314
2016-11-29,47720.0,49498.0,47720.0,49118.94921875,48835.3203125,13814
2016-11-30,50000.0,50595.19921875,49500.0,49900.1015625,49611.96484375,35735
2016-12-01,50799.94921875,50799.94921875,48684.5,48883.30078125,48601.0390625,15416
2016-12-02,48790.0,49340.0,48280.0,48841.6015625,48559.57421875,11376
2016-12-05,48401.1015625,50722.30078125,48401.1015625,50469.30078125,50177.87890625,16302
2016-12-06,50639.0,51074.55078125,49861.05078125,50304.69921875,50014.23046875,13166
2016-12-07,50399.0,50705.30078125,49810.0,50147.80078125,49858.234375,8158
2016-12-08,50401.0,51669.0,50401.0,51416.55078125,51119.65234375,10465
2016-12-09,51656.0,53448.0,51286.3984375,53033.5,52727.2734375,17815
2016-12-12,52701.0,52996.80078125,52001.0,52235.0,51933.3828125,8233
2016-12-13,52549.0,53350.0,52320.0,52424.19921875,52121.4921875,11944
2016-12-14,52216.0,52999.0,52216.0,52759.69921875,52455.05859375,7681
2016-12-15,53000.0,53270.0,52400.0,52613.3984375,52309.59375,14182
2016-12-16,52920.0,52996.8984375,51980.30078125,52154.69921875,51853.5390625,13605
2016-12-19,52387.0,52387.0,51431.0,51561.55078125,51263.8203125,4267
2016-12-20,51434.0,51923.94921875,49680.0,49825.30078125,49537.59375,12476
2016-12-21,50188.0,50188.0,48800.0,48855.1484375,48573.05078125,11398
2016-12-22,48797.69921875,49249.0,48055.19921875,48234.6484375,47956.1328125,9556
2016-12-23,48370.0,49685.0,47968.1484375,48996.5,48713.578125,10845
2016-12-26,48998.80078125,49005.05078125,48000.0,48319.44921875,48040.4453125,6624
2016-12-27,48556.80078125,48840.0,47512.30078125,48692.94921875,48411.78515625,10685
2016-12-28,48998.94921875,49089.94921875,48356.44921875,48485.94921875,48205.9765625,5321
2016-12-29,48350.0,48980.0,48350.0,48893.80078125,48611.46875,9163
2016-12-30,49100.0,49300.0,48500.0,48905.6484375,48623.25,7871
2017-01-02,49000.0,49304.94921875,48799.75,49084.3984375,48800.9765625,8367
2017-01-03,49388.8984375,50500.0,49101.25,50391.44921875,50100.484375,9526
2017-01-04,50679.80078125,50769.75,50181.6015625,50386.1015625,50095.1640625,7045
2017-01-05,50698.6484375,51990.0,50550.05078125,51710.6484375,51412.046875,8444
2017-01-06,52000.0,52686.5,51125.0,51579.19921875,51281.375,14670
2017-01-09,51579.19921875,51797.0,50825.69921875,51349.1484375,51052.6484375,5351
